               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.061907,            0.032253,              0.1125,           0.0081284,             0.65784,            0.016134,            0.010219,            0.030137,            0.012767,              0.1079,            0.070119,           0.0033202,           0.0033202
                   1,            0.042421,            0.022173,              0.1066,           0.0090264,             0.71771,            0.028174,            0.016386,            0.027022,             0.01167,             0.10444,            0.040053,           0.0065876,           0.0065876
                   2,            0.037989,            0.021138,             0.10247,             0.80638,            0.062785,            0.047212,            0.029328,            0.028015,            0.011027,            0.098073,           0.0099208,           0.0097891,           0.0097891
                   3,            0.033208,              0.0202,            0.095562,             0.69964,             0.13617,            0.073139,            0.049706,            0.024066,             0.01086,            0.090922,            0.009703,            0.009703,            0.009703
                   4,            0.032193,            0.019608,            0.088082,             0.61486,             0.22466,             0.13883,              0.0933,            0.024717,            0.010679,            0.083039,            0.009703,            0.009703,            0.009703
                   5,            0.031691,            0.019323,            0.080405,             0.68464,             0.22182,             0.21037,             0.14452,            0.024033,            0.010533,            0.075582,            0.009604,            0.009604,            0.009604
                   6,            0.031563,            0.019481,            0.073674,              0.6511,             0.32502,             0.29518,             0.20188,            0.024177,            0.010561,            0.067744,            0.009505,            0.009505,            0.009505
                   7,            0.031537,            0.019452,            0.067144,             0.58674,             0.42301,             0.35653,             0.23934,            0.023733,            0.010471,            0.061623,            0.009406,            0.009406,            0.009406
                   8,            0.031638,            0.019312,            0.062802,             0.60002,             0.45536,             0.42066,             0.28545,            0.023508,            0.010358,             0.05634,            0.009307,            0.009307,            0.009307
                   9,            0.031724,            0.018971,             0.05917,             0.58794,              0.4869,             0.45132,             0.31563,             0.02342,            0.010336,            0.053828,            0.009208,            0.009208,            0.009208
                  10,            0.031318,            0.019054,            0.055464,              0.6275,             0.49007,             0.50739,              0.3525,            0.023301,            0.010334,            0.050508,            0.009109,            0.009109,            0.009109
                  11,            0.031404,             0.01921,             0.05171,             0.68884,              0.4946,             0.53983,             0.37238,            0.023428,            0.010396,            0.048916,             0.00901,             0.00901,             0.00901
                  12,            0.031332,            0.018982,            0.049521,             0.69354,             0.55674,             0.62197,             0.43955,            0.022627,             0.01027,            0.042794,            0.008911,            0.008911,            0.008911
                  13,            0.031169,            0.019037,            0.047127,             0.64955,              0.5906,             0.63292,             0.44566,            0.023032,            0.010279,            0.040942,            0.008812,            0.008812,            0.008812
                  14,            0.031402,            0.018871,            0.045258,             0.63277,             0.61608,             0.63821,             0.44172,            0.023413,            0.010442,            0.039735,            0.008713,            0.008713,            0.008713
                  15,            0.030941,            0.018956,            0.042894,             0.66404,             0.65404,             0.69162,             0.49198,            0.022062,            0.010137,            0.035551,            0.008614,            0.008614,            0.008614
                  16,            0.030746,            0.018527,            0.040784,             0.65262,              0.7051,             0.71776,             0.51026,             0.02266,            0.010194,            0.034724,            0.008515,            0.008515,            0.008515
                  17,            0.030568,            0.018515,            0.039744,             0.65299,             0.70703,             0.73694,             0.52816,            0.022044,            0.010097,            0.032767,            0.008416,            0.008416,            0.008416
                  18,            0.030711,            0.018633,            0.037825,             0.68553,             0.71439,             0.75486,             0.53411,            0.022185,            0.010031,            0.031052,            0.008317,            0.008317,            0.008317
                  19,            0.030603,            0.018753,            0.036356,             0.71908,             0.72343,             0.76681,             0.54007,            0.022757,             0.01022,            0.029867,            0.008218,            0.008218,            0.008218
                  20,            0.030224,            0.018567,            0.035181,             0.71863,             0.73159,             0.78253,             0.55417,            0.022012,            0.010068,            0.029605,            0.008119,            0.008119,            0.008119
                  21,            0.029972,            0.018382,            0.034355,             0.70982,             0.74181,             0.77688,             0.56051,            0.021806,            0.010119,            0.029006,             0.00802,             0.00802,             0.00802
                  22,            0.029954,             0.01851,            0.033526,             0.72585,             0.75936,             0.79251,             0.57543,            0.021188,           0.0099118,            0.027721,            0.007921,            0.007921,            0.007921
                  23,            0.029673,            0.018437,            0.032323,             0.69566,             0.76381,             0.78933,             0.57788,            0.021034,           0.0099178,            0.028514,            0.007822,            0.007822,            0.007822
                  24,             0.02945,            0.018387,            0.031842,             0.74246,             0.79263,              0.8258,               0.608,            0.020766,           0.0098374,            0.025176,            0.007723,            0.007723,            0.007723
                  25,            0.029342,            0.018296,            0.030536,             0.74843,             0.77402,             0.81806,             0.60106,            0.020993,           0.0099082,            0.026077,            0.007624,            0.007624,            0.007624
                  26,            0.028725,            0.017945,            0.029711,             0.76456,             0.80558,             0.83851,             0.61948,            0.020619,           0.0098017,             0.02439,            0.007525,            0.007525,            0.007525
