image_name,class_id,confidence_score,x_min,y_min,x_max,y_max
VAIPE_P_0_0.jpg,10,0.9999937,1187,1615,1704,2347
VAIPE_P_0_0.jpg,99,0.9999453,1058,2211,1687,2664
VAIPE_P_0_0.jpg,10,0.99999297,1615,2144,1950,2927
VAIPE_P_0_1.jpg,10,0.9999988,951,1694,2198,2343
VAIPE_P_0_1.jpg,99,0.99995756,1095,2607,2130,3352
VAIPE_P_0_1.jpg,8,0.99999726,1156,2151,1974,2566
VAIPE_P_0_1.jpg,10,0.99999976,438,2341,1300,3574
VAIPE_P_0_2.jpg,99,0.99998236,959,2591,1648,3204
VAIPE_P_0_2.jpg,8,0.99999595,1599,1907,1897,2445
VAIPE_P_0_2.jpg,10,0.99999774,785,2089,1369,2925
VAIPE_P_0_2.jpg,10,0.99999654,1240,1876,1707,2678
VAIPE_P_0_3.jpg,10,0.9999951,823,2096,1495,2893
VAIPE_P_0_3.jpg,10,0.99998534,1889,1422,2546,2174
VAIPE_P_0_3.jpg,99,0.99949443,1161,1974,1774,2618
VAIPE_P_0_4.jpg,107,0.8353399,1552,1842,1982,2278
VAIPE_P_0_4.jpg,107,0.99962115,1332,1458,1974,1873
VAIPE_P_0_4.jpg,107,0.6823212,1368,2326,1812,2776
VAIPE_P_0_4.jpg,107,0.05625933,1165,2715,1720,3641
VAIPE_P_0_4.jpg,107,0.9988869,2002,2053,2388,2653
VAIPE_P_0_4.jpg,107,0.99542576,1713,2198,2274,3062
VAIPE_P_0_5.jpg,107,0.9779154,1032,2198,1544,2665
VAIPE_P_0_5.jpg,107,0.05041151,1497,2701,1986,3321
VAIPE_P_0_5.jpg,107,0.10453822,1594,1241,1959,1612
VAIPE_P_0_5.jpg,107,0.0044246484,637,902,1271,1756
VAIPE_P_0_5.jpg,107,0.9999666,1635,1963,2478,2736
VAIPE_P_0_5.jpg,107,0.010541473,273,2031,879,2548
VAIPE_P_0_6.jpg,107,0.9994098,330,1942,1177,2718
VAIPE_P_0_6.jpg,107,0.9925344,1864,2150,2594,2737
VAIPE_P_0_6.jpg,107,0.037425414,1255,2783,1812,3626
VAIPE_P_0_6.jpg,107,0.9955728,844,1260,1808,2250
VAIPE_P_1_0.jpg,56,0.9999999,2471,990,2985,1803
VAIPE_P_1_1.jpg,107,0.9939347,1870,2424,2256,2829
