image_name,class_id,confidence_score,x_min,y_min,x_max,y_max
VAIPE_P_5_6.jpg,107,0.894396007,1077,1901,1711,2364
VAIPE_P_73_19.jpg,55,0.652033687,1435,1825,1973,2353
VAIPE_P_44_3.jpg,64,0.839110315,524,467,636,607
VAIPE_P_44_3.jpg,46,0.759200454,750,642,827,727
VAIPE_P_73_16.jpg,107,0.881576061,1225,2023,1898,2711
VAIPE_P_29_5.jpg,54,0.897465944,1807,1867,2285,2339
VAIPE_P_29_5.jpg,54,0.87908119,1475,1449,1939,1894
VAIPE_P_29_5.jpg,64,0.869889498,1326,2296,1740,2732
VAIPE_P_29_5.jpg,64,0.621767998,888,1728,1306,2143
VAIPE_P_29_5.jpg,64,0.614129245,887,1724,1310,2148
VAIPE_P_22_16.jpg,89,0.919362664,985,3020,1666,3323
VAIPE_P_22_16.jpg,2,0.911814094,1396,2198,2010,2770
VAIPE_P_22_16.jpg,89,0.909213841,776,2719,1481,3062
VAIPE_P_22_16.jpg,2,0.905614913,825,1861,1597,2178
VAIPE_P_22_16.jpg,27,0.885113001,1443,2619,1967,3052
VAIPE_P_22_16.jpg,73,0.802804947,1272,2161,1563,2534
VAIPE_P_22_16.jpg,73,0.783518493,875,2204,1300,2507
VAIPE_P_59_34.jpg,30,0.865678906,1343,2620,1658,2942
VAIPE_P_167_25.jpg,107,0.88789618,775,1937,1261,2435
VAIPE_P_167_25.jpg,92,0.723460674,1219,1831,1521,2408
VAIPE_P_167_25.jpg,107,0.527782142,823,1759,1135,2003
VAIPE_P_167_25.jpg,14,0.297013253,817,1761,1138,1999
VAIPE_P_155_16.jpg,89,0.908738613,1575,1944,1959,2469
VAIPE_P_155_16.jpg,107,0.874094248,1974,1892,2397,2298
VAIPE_P_155_16.jpg,43,0.859265029,826,3116,1481,3426
VAIPE_P_155_16.jpg,43,0.749446154,1042,1625,1732,1928
VAIPE_P_168_8.jpg,107,0.663590491,1172,2029,1741,2485
VAIPE_P_168_8.jpg,55,0.662670493,808,2257,1267,2736
VAIPE_P_168_8.jpg,37,0.557913125,1172,2022,1735,2482
VAIPE_P_168_8.jpg,59,0.524578154,1786,1055,2229,1516
VAIPE_P_168_8.jpg,51,0.286134422,810,2252,1267,2736
VAIPE_P_60_3.jpg,10,0.92341733,1,259,79,300
VAIPE_P_60_3.jpg,10,0.908342719,154,189,237,226
VAIPE_P_60_3.jpg,51,0.901660502,115,242,160,285
VAIPE_P_60_3.jpg,51,0.896485984,171,122,219,168
VAIPE_P_60_3.jpg,36,0.87732631,152,309,198,352
VAIPE_P_72_1.jpg,64,0.862864792,1567,1440,1843,1691
VAIPE_P_72_1.jpg,46,0.854864895,1380,1539,1552,1703
VAIPE_P_72_1.jpg,64,0.828166127,1623,1240,1875,1443
VAIPE_P_155_18.jpg,43,0.89405477,1396,2664,2035,3045
VAIPE_P_155_18.jpg,107,0.873538673,1766,1972,2155,2356
VAIPE_P_155_18.jpg,89,0.842590034,1075,1784,1612,2144
VAIPE_P_155_18.jpg,43,0.722290218,1025,1516,1668,1909
VAIPE_P_161_20.jpg,26,0.898456872,758,1789,1161,2588
